team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
IU,KK,Jean-Paul Duminy,Luke Ronchi,Hussain Talat,Asif Ali,Sahibzada Farhan,Misbah-ul-Haq,Shadab Khan,Faheem Ashraf,Andre Russell,Mohammad Sami,Samit Patel,Khurram Manzoor,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Imad Wasim,Mohammad Rizwan,Mohammad Irfan,Mohammad Amir,Usman Khan,Tymal Mills,Sharjah,IU,field,IU
PZ,MS,Kamran Akmal,Andre Fletcher,Dwayne Smith,Mohammad Hafeez,Riki Wessels,Liam Dawson,Hammad Azam,Hasan Ali,Wahab Riaz,Umaid Asif,Sameen Gul,Ahmed Shehzad,Kumar Sangakkara,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Darren Bravo,Sohail Tanvir,Mohammad Irfan,Imran Tahir,Junaid Khan,Saif Badar,Dubai,PZ,field,MS
MS,QG,Kumar Sangakkara,Ahmed Shehzad,Sohaib Maqsood,Sohail Tanvir,Shoaib Malik,Ross Whiteley,Kieron Pollard,Mohammad Irfan,Imran Tahir,Umar Gul,Saif Badar,Asad Shafiq,Shane Watson,Kevin Pietersen,Rilee Rossouw,Rameez Raja,Sarfraz Ahmed,Anwar Ali,Mohammad Nawaz,Hasan Khan,Ben Laughlin,Rahat Ali,Dubai,QG,field,QG
IU,LQ,Jean-Paul Duminy,Luke Ronchi,Shadab Khan,Asif Ali,Misbah-ul-Haq,Sahibzada Farhan,Hussain Talat,Samit Patel,Faheem Ashraf,Steven Finn,Mohammad Sami,Fakhar Zaman,Anton Devcich,Agha Salman,Denesh Ramdin,Brendon McCullum,Sunil Narine,Sohail Khan,Aamer Yamin,Salman Irshad,Yasir Shah,Imran Khan,Dubai,IU,field,IU
KK,QG,Joe Denly,Shahid Afridi,Colin Ingram,Babar Azam,Ravi Bopara,Imad Wasim,Mohammad Rizwan,David Wiese,Mohammad Irfan,Mohammad Amir,Usman Khan,Asad Shafiq,Shane Watson,Kevin Pietersen,Rilee Rossouw,Anwar Ali,Rameez Raja,Sarfraz Ahmed,Mohammad Nawaz,Hasan Khan,Ben Laughlin,Rahat Ali,Dubai,KK,field,QG
MS,LQ,Ahmed Shehzad,Kumar Sangakkara,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Ross Whiteley,Saif Badar,Sohail Tanvir,Imran Tahir,Junaid Khan,Mohammad Irfan,Fakhar Zaman,Anton Devcich,Agha Salman,Gulraiz Sadaf,Brendon McCullum,Sohail Akhtar,Sunil Narine,Yasir Shah,Sohail Khan,Mitchell McClenaghan,Shaheen Afridi,Dubai,MS,bat,LQ
PZ,IU,Kamran Akmal,Andre Fletcher,Dwayne Smith,Mohammad Hafeez,Khushdil Shah,Liam Dawson,Darren Sammy,Hasan Ali,Wahab Riaz,Umaid Asif,Ibtisam Sheikh,Jean-Paul Duminy,Luke Ronchi,Hussain Talat,Shadab Khan,Asif Ali,Faheem Ashraf,Misbah-ul-Haq,Samit Patel,Zafar Gohar,Steven Finn,Mohammad Sami,Dubai,PZ,field,IU
MS,KK,Kumar Sangakkara,Ahmed Shehzad,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Saif Badar,Hardus Viljoen,Sohail Tanvir,Imran Tahir,Junaid Khan,Mohammad Irfan,Lendl Simmons,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Shahid Afridi,Mohammad Rizwan,Imad Wasim,Mohammad Irfan,Mohammad Amir,Usman Khan,Dubai,MS,field,KK
PZ,QG,Mohammad Hafeez,Kamran Akmal,Dwayne Smith,Riki Wessels,Khushdil Shah,Liam Dawson,Darren Sammy,Hasan Ali,Wahab Riaz,Mohammad Asghar,Umaid Asif,Asad Shafiq,Shane Watson,Kevin Pietersen,Rameez Raja,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Anwar Ali,Hasan Khan,Rahat Ali,Ben Laughlin,Dubai,QG,field,QG
KK,LQ,Lendl Simmons,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Shahid Afridi,Imad Wasim,Mohammad Rizwan,Mohammad Irfan,Mohammad Amir,Usman Khan,Fakhar Zaman,Anton Devcich,Agha Salman,Sunil Narine,Brendon McCullum,Sohail Akhtar,Sohail Khan,Mitchell McClenaghan,Gulraiz Sadaf,Yasir Shah,Shaheen Afridi,Dubai,LQ,field,LQ
MS,IU,Kumar Sangakkara,Ahmed Shehzad,Saif Badar,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Ross Whiteley,Sohail Tanvir,Umar Gul,Imran Tahir,Mohammad Irfan,Luke Ronchi,Jean-Paul Duminy,Alex Hales,Hussain Talat,Asif Ali,Faheem Ashraf,Misbah-ul-Haq,Samit Patel,Shadab Khan,Amad Butt,Mohammad Sami,Sharjah,MS,field,IU
QG,LQ,Jason Roy,Shane Watson,Kevin Pietersen,Rameez Raja,Rilee Rossouw,Anwar Ali,Sarfraz Ahmed,Mohammad Nawaz,Hasan Khan,Rahat Ali,Mir Hamza,Fakhar Zaman,Anton Devcich,Agha Salman,Brendon McCullum,Gulraiz Sadaf,Sunil Narine,Sohail Akhtar,Sohail Khan,Mitchell McClenaghan,Yasir Shah,Shaheen Afridi,Sharjah,QG,field,LQ
PZ,KK,Mohammad Hafeez,Kamran Akmal,Dwayne Smith,Riki Wessels,Saad Nasim,Darren Sammy,Liam Dawson,Umaid Asif,Hasan Ali,Wahab Riaz,Sameen Gul,Babar Azam,Joe Denly,Colin Ingram,Eoin Morgan,Ravi Bopara,Shahid Afridi,Mohammad Rizwan,Usama Mir,Mohammad Irfan,Mohammad Amir,Usman Khan,Sharjah,PZ,bat,PZ
QG,IU,Jason Roy,Shane Watson,Umar Amin,Kevin Pietersen,Sarfraz Ahmed,Rilee Rossouw,Anwar Ali,Mohammad Nawaz,Hasan Khan,Rahat Ali,Mir Hamza,Jean-Paul Duminy,Luke Ronchi,Alex Hales,Shadab Khan,Hussain Talat,Asif Ali,Faheem Ashraf,Misbah-ul-Haq,Samit Patel,Amad Butt,Mohammad Sami,Sharjah,QG,bat,IU
PZ,LQ,Kamran Akmal,Riki Wessels,Dwayne Smith,Mohammad Hafeez,Saad Nasim,Darren Sammy,Liam Dawson,Umaid Asif,Hasan Ali,Wahab Riaz,Sameen Gul,Fakhar Zaman,Anton Devcich,Brendon McCullum,Agha Salman,Gulraiz Sadaf,Sohail Akhtar,Bilal Asif,Yasir Shah,Kyle Abbott,Mitchell McClenaghan,Shaheen Afridi,Sharjah,LQ,bat,PZ
IU,KK,Jean-Paul Duminy,Alex Hales,Chadwick Walton,Misbah-ul-Haq,Hussain Talat,Asif Ali,Shadab Khan,Faheem Ashraf,Amad Butt,Zafar Gohar,Steven Finn,Khurram Manzoor,Joe Denly,Babar Azam,Eoin Morgan,Colin Ingram,Shahid Afridi,Mohammad Rizwan,Mohammad Amir,Tymal Mills,Usman Khan,Mohammad Irfan,Sharjah,KK,field,KK
IU,KK,Luke Ronchi,Sahibzada Farhan,Alex Hales,Samit Patel,Jean-Paul Duminy,Hussain Talat,Asif Ali,Shadab Khan,Faheem Ashraf,Mohammad Sami,Amad Butt,Khurram Manzoor,Joe Denly,Babar Azam,Eoin Morgan,Colin Ingram,Shahid Afridi,Mohammad Rizwan,Mohammad Amir,Tymal Mills,Usman Khan,Mohammad Irfan,Dubai,KK,bat,IU
PZ,QG,Tamim Iqbal,Kamran Akmal,Andre Fletcher,Mohammad Hafeez,Liam Dawson,Saad Nasim,Umaid Asif,Darren Sammy,Wahab Riaz,Hasan Ali,Sameen Gul,Asad Shafiq,Tom Kohler-Cadmore,Mohammad Nawaz,Sarfraz Ahmed,Rilee Rossouw,Mahmudullah,Thisara Perera,Anwar Ali,Hasan Khan,Mir Hamza,Rahat Ali,Lahore,QG,field,PZ
KK,PZ,Mukhtar Ahmed,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Danish Aziz,Mohammad Rizwan,Mohammad Amir,Tymal Mills,Usman Khan,Usama Mir,Kamran Akmal,Andre Fletcher,Liam Dawson,Mohammad Hafeez,Darren Sammy,Saad Nasim,Wahab Riaz,Chris Jordan,Hasan Ali,Umaid Asif,Sameen Gul,Lahore,KK,field,PZ
IU,PZ,Luke Ronchi,Sahibzada Farhan,Chadwick Walton,Jean-Paul Duminy,Samit Patel,Shadab Khan,Hussain Talat,Asif Ali,Faheem Ashraf,Mohammad Sami,Amad Butt,Kamran Akmal,Andre Fletcher,Mohammad Hafeez,Chris Jordan,Liam Dawson,Saad Nasim,Darren Sammy,Umaid Asif,Hasan Ali,Wahab Riaz,Sameen Gul,Karachi,PZ,bat,IU
