team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
KK,QG,Nauman Anwar,Shoaib Malik,James Vince,Shakib Al Hasan,Ravi Bopara,Sohail Tanvir,Mushfiqur Rahim,Imad Wasim,Usama Mir,Sohail Khan,Mir Hamza,Luke Wright,Ahmed Shehzad,Kevin Pietersen,Sarfraz Ahmed,Grant Elliott,Mohammad Nawaz,Anwar Ali,Mohammad Nabi,Zulfiqar Babar,Akbar-ur-Rehman,Aizaz Cheema,Sharjah,KK,bat,QG
LQ,PZ,Azhar Ali,Chris Gayle,Cameron Delport,Umar Akmal,Dwayne Bravo,Mohammad Rizwan,Zohaib Khan,Zafar Gohar,Kevon Cooper,Ehsan Adil,Adnan Rasool,Tamim Iqbal,Mohammad Hafeez,Kamran Akmal,Dawid Malan,Shahid Afridi,Shahid Yousuf,Darren Sammy,Wahab Riaz,Junaid Khan,Mohammad Asghar,Shaun Tait,Sharjah,PZ,field,LQ
IU,KK,Sharjeel Khan,Andre Russell,Brad Haddin,Khalid Latif,Misbah-ul-Haq,Asif Ali,Azhar Mahmood,Samuel Badree,Imran Khalid,Mohammad Sami,Rumman Raees,James Vince,Shahzaib Hasan,Imad Wasim,Ravi Bopara,Mushfiqur Rahim,Shoaib Malik,Shakib Al Hasan,Mohammad Amir,Usama Mir,Sohail Khan,Mir Hamza,Sharjah,IU,field,IU
QG,PZ,Asad Shafiq,Ahmed Shehzad,Kumar Sangakkara,Akbar-ur-Rehman,Mohammad Nawaz,Sarfraz Ahmed,Grant Elliott,Mohammad Nabi,Elton Chigumbura,Umar Gul,Zulfiqar Babar,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Brad Hodge,Shahid Yousuf,Shahid Afridi,Darren Sammy,Wahab Riaz,Junaid Khan,Mohammad Asghar,Shaun Tait,Sharjah,QG,bat,PZ
LQ,QG,Chris Gayle,Azhar Ali,Umar Akmal,Dwayne Bravo,Cameron Delport,Naved Yasin,Mohammad Rizwan,Zohaib Khan,Zafar Gohar,Kevon Cooper,Ehsan Adil,Bismillah Khan,Ahmed Shehzad,Kevin Pietersen,Kumar Sangakkara,Sarfraz Ahmed,Anwar Ali,Grant Elliott,Mohammad Nawaz,Mohammad Nabi,Zulfiqar Babar,Umar Gul,Dubai,QG,field,QG
KK,PZ,Lendl Simmons,Shahzaib Hasan,Riki Wessels,Shoaib Malik,Ravi Bopara,Shakib Al Hasan,Bilawal Bhatti,Sohail Khan,Usama Mir,Saifullah Bangash,Mohammad Amir,Mohammad Hafeez,Dawid Malan,Jim Allenby,Brad Hodge,Shahid Afridi,Kamran Akmal,Darren Sammy,Aamer Yamin,Abdur Rehman,Hasan Ali,Imran Khan,Dubai,KK,bat,PZ
IU,LQ,Dwayne Smith,Sharjeel Khan,Brad Haddin,Khalid Latif,Misbah-ul-Haq,Asif Ali,Azhar Mahmood,Saeed Ajmal,Ashar Zaidi,Rumman Raees,Mohammad Irfan,Azhar Ali,Cameron Delport,Sohaib Maqsood,Mohammad Rizwan,Umar Akmal,Dwayne Bravo,Kevon Cooper,Ajantha Mendis,Ehsan Adil,Adnan Rasool,Zia-ul-Haq,Dubai,IU,field,IU
PZ,QG,Mohammad Hafeez,Kamran Akmal,Shahid Yousuf,Brad Hodge,Jonny Bairstow,Darren Sammy,Shahid Afridi,Wahab Riaz,Hasan Ali,Mohammad Asghar,Shaun Tait,Bismillah Khan,Ahmed Shehzad,Kevin Pietersen,Kumar Sangakkara,Sarfraz Ahmed,Mohammad Nawaz,Grant Elliott,Nathan McCullum,Anwar Ali,Zulfiqar Babar,Aizaz Cheema,Dubai,PZ,field,QG
IU,KK,Dwayne Smith,Sharjeel Khan,Brad Haddin,Asif Ali,Misbah-ul-Haq,Khalid Latif,Andre Russell,Imran Khalid,Samuel Badree,Mohammad Irfan,Mohammad Sami,Lendl Simmons,Riki Wessels,Iftikhar Ahmed,Shoaib Malik,Ravi Bopara,Ryan ten Doeschate,Imad Wasim,Sohail Khan,Usama Mir,Mohammad Amir,Mir Hamza,Dubai,IU,field,IU
IU,PZ,Dwayne Smith,Sharjeel Khan,Brad Haddin,Khalid Latif,Andre Russell,Misbah-ul-Haq,Asif Ali,Samuel Badree,Imran Khalid,Mohammad Irfan,Mohammad Sami,Kamran Akmal,Dawid Malan,Mohammad Hafeez,Brad Hodge,Darren Sammy,Shahid Afridi,Shahid Yousuf,Wahab Riaz,Hasan Ali,Mohammad Asghar,Shaun Tait,Dubai,PZ,field,IU
