team1,team2,team1_bt_avr,team1_bt_strk,team1_bl_avr,team1_bl_ecn,team1_bl_strk,team2_bt_avr,team2_bt_strk,team2_bl_avr,team2_bl_ecn,team2_bl_strk,venue,toss_winner,toss_decision,winner
LQ,PZ,150.21,1419.3199999999997,125.88000000000001,52.980000000000004,112.70000000000002,212.14999999999998,1449.8400000000001,193.35999999999999,71.58,156.29999999999998,Dubai,PZ,bat,PZ
IU,QG,189.9,1011.2199999999999,183.59,60.78000000000001,145.9,217.97,1274.1899999999998,223.04999999999998,66.03,164.7,Dubai,QG,field,IU
KK,LQ,223.8,1225.6200000000001,187.41,66.02,154.5,150.21,1485.98,109.65,53.730000000000004,96.0,Dubai,KK,field,KK
PZ,QG,212.15,1449.8400000000001,193.35999999999999,71.58000000000001,156.3,204.12,1141.78,218.23,63.12,170.29999999999998,Dubai,PZ,field,PZ
IU,KK,196.19,1087.0,210.63,69.92,162.5,225.51000000000002,1235.5300000000002,209.57999999999998,65.11,173.20000000000002,Dubai,KK,field,KK
PZ,QG,230.02999999999997,1471.46,227.99999999999997,75.16,169.1,193.23999999999998,1115.74,230.6,76.83999999999999,175.8,Sharjah,PZ,field,QG
IU,KK,196.57000000000005,1128.4499999999998,152.52,46.61,117.99999999999999,225.51000000000002,1235.5300000000002,209.57999999999998,65.11,173.20000000000002,Sharjah,IU,field,KK
KK,PZ,225.51000000000002,1235.5300000000002,209.57999999999998,65.11,173.20000000000002,232.28999999999996,1515.5000000000002,253.35999999999999,82.46999999999998,189.90000000000003,Dubai,KK,field,PZ
PZ,QG,219.30999999999997,1331.43,226.55999999999997,75.17999999999999,167.70000000000002,210.82999999999998,1150.46,158.44,63.71,112.5,Lahore,QG,field,PZ
PZ,MS,179.17999999999998,1293.13,184.80999999999997,55.67,139.1,185.23000000000005,1202.31,213.51999999999998,82.75,167.9,Dubai,MS,field,MS
KK,QG,188.11999999999998,1057.78,140.85000000000002,42.52,123.7,221.18999999999997,1327.6999999999998,244.47999999999996,56.75,178.8,Dubai,KK,bat,KK
MS,LQ,186.38000000000005,1182.03,184.43999999999997,74.5,146.8,162.46,1309.8699999999997,102.52,43.07,93.5,Dubai,LQ,field,MS
IU,PZ,183.14,1093.75,175.44,54.669999999999995,134.2,180.60999999999999,1309.2099999999998,213.52,64.49000000000001,158.6,Dubai,IU,field,PZ
QG,LQ,221.18999999999997,1327.6999999999998,244.47999999999996,56.75,178.8,170.34,1173.1699999999998,105.91999999999999,42.67,98.3,Dubai,QG,field,QG
MS,IU,195.07000000000002,1194.7000000000003,186.6,75.57,145.5,167.39,1058.19,151.18,54.31,115.89999999999999,Dubai,IU,field,IU
KK,PZ,188.38000000000002,1110.54,165.29000000000002,49.15,145.8,187.50999999999996,1326.3,184.35,55.0,140.6,Dubai,PZ,bat,KK
KK,LQ,181.05,1100.01,172.08,49.85,149.60000000000002,164.20000000000005,1202.5799999999997,86.72,39.35,70.7,Dubai,KK,bat,KK
IU,QG,224.98000000000002,1151.8500000000001,143.81,52.86000000000001,114.60000000000001,215.17999999999998,1353.3499999999997,280.77,64.89,205.4,Sharjah,QG,field,QG
QG,PZ,218.04999999999998,1352.5599999999997,248.59,57.230000000000004,180.3,213.76999999999995,1396.0,204.32,66.01,164.10000000000002,Sharjah,PZ,field,PZ
MS,KK,195.07000000000002,1194.6999999999998,186.60000000000002,75.57,145.5,159.87,954.39,163.16000000000003,50.25,140.4,Sharjah,KK,bat,KK
LQ,IU,176.50000000000003,1383.0999999999997,62.72,41.1,52.7,245.38,1217.91,176.89,54.739999999999995,135.1,Sharjah,LQ,field,IU
MS,QG,174.86000000000004,1137.52,187.01999999999998,76.05999999999999,144.6,190.7,1252.2299999999998,219.4,52.790000000000006,173.9,Sharjah,MS,field,MS
PZ,LQ,202.10999999999999,1592.8100000000002,222.77999999999997,69.50000000000001,171.6,181.4,1375.76,62.72,41.1,52.7,Sharjah,LQ,bat,PZ
IU,KK,245.38,1217.9099999999999,176.89000000000001,54.739999999999995,135.1,170.20000000000002,974.4399999999999,143.18,43.42,122.9,Sharjah,IU,field,IU
PZ,MS,186.95999999999998,1411.6,206.83999999999997,62.030000000000015,160.0,174.86000000000004,1137.52,187.01999999999998,76.05999999999999,144.6,Dubai,PZ,field,MS
MS,QG,203.95,1210.02,184.53,80.06,151.4,186.28,1011.9100000000001,289.08,60.089999999999996,196.8,Dubai,QG,field,QG
IU,LQ,227.5,1150.2600000000002,162.16000000000003,52.870000000000005,129.0,152.63,1564.79,215.28,58.44,182.6,Dubai,IU,field,IU
KK,QG,193.08,1231.7800000000002,166.02,58.47,139.6,186.28,1011.9100000000001,289.08,60.089999999999996,196.8,Dubai,KK,field,QG
MS,LQ,193.92000000000004,1214.98,215.67999999999998,83.82,166.60000000000002,203.58,1325.6699999999998,215.58,59.730000000000004,184.79999999999998,Dubai,MS,bat,LQ
PZ,IU,192.89,1459.08,232.2,69.34000000000002,180.8,243.25000000000003,1259.5000000000002,208.01,60.510000000000005,164.99999999999997,Dubai,PZ,field,IU
MS,KK,193.92000000000004,1214.98,215.67999999999998,83.82,166.60000000000002,202.86,1253.8000000000002,154.03,58.5,133.0,Dubai,MS,field,KK
PZ,QG,185.79999999999998,1483.03,269.76,80.59000000000002,200.50000000000003,210.92,1230.01,275.15,59.92,189.3,Dubai,QG,field,QG
KK,LQ,208.32000000000002,1200.43,133.78,52.43,113.0,181.83,1289.5099999999998,201.88000000000002,60.85,168.99999999999997,Dubai,LQ,field,LQ
MS,IU,209.3,1229.23,174.07,84.02,139.4,277.17,1341.61,158.57,52.31,127.3,Sharjah,MS,field,IU
QG,LQ,201.82,1179.72,227.73999999999995,53.74999999999999,175.8,188.07999999999998,1311.8899999999999,196.26000000000002,59.09,169.39999999999998,Sharjah,QG,field,LQ
PZ,KK,194.01999999999998,1538.0100000000002,244.05999999999997,83.26,185.0,218.63,1161.8500000000001,104.37,37.2,87.0,Sharjah,PZ,bat,PZ
QG,IU,205.59,1212.4099999999999,227.73999999999995,53.74999999999999,175.8,275.92,1322.07,186.42000000000002,53.230000000000004,147.29999999999998,Sharjah,QG,bat,IU
PZ,LQ,196.83999999999997,1534.8600000000001,213.77999999999997,74.31000000000002,164.8,254.30999999999997,1341.5800000000002,112.56,40.15,90.9,Sharjah,LQ,bat,PZ
IU,KK,241.7,1311.7500000000002,136.59,51.059999999999995,112.30000000000001,158.53000000000003,956.0799999999999,149.96,44.300000000000004,126.19999999999999,Sharjah,KK,field,KK
IU,KK,243.65,1172.63,158.99,54.0,124.39999999999999,158.53000000000003,956.0799999999999,149.96,44.300000000000004,126.19999999999999,Dubai,KK,bat,IU
PZ,QG,210.96,1438.89,149.98,70.02000000000001,117.8,213.01999999999998,1380.4399999999998,236.40999999999997,56.42,176.2,Lahore,QG,field,PZ
KK,PZ,197.12,1014.48,173.88000000000002,52.09,144.3,194.07,1523.3200000000002,201.38999999999996,75.08,153.8,Lahore,KK,field,PZ
IU,PZ,224.20999999999998,1147.21,158.99,54.0,124.39999999999999,191.92999999999998,1451.71,207.16999999999996,73.89000000000001,160.9,Karachi,PZ,bat,IU
